TCGA-A7-A13D-01A-13R-A12P-07	TCGA-E9-A1RH-11A-34R-A169-07
ENSG00000000003	3018	3573
ENSG00000000005	0	770
ENSG00000000419	2817	1607
ENSG00000000457	591	1040
ENSG00000000460	1083	215
ENSG00000000938	231	573
ENSG00000000971	1495	13487
ENSG00000001036	2554	2373
ENSG00000001084	918	3212
ENSG00000001167	2623	1397
ENSG00000001460	797	587
ENSG00000001461	3581	2158
ENSG00000001497	5139	2057
ENSG00000001561	677	2596
ENSG00000001617	2486	2047
ENSG00000001626	29	26
ENSG00000001629	4439	4251
ENSG00000001630	101	46
ENSG00000001631	379	330
ENSG00000002016	272	442
ENSG00000002079	20	1
ENSG00000002330	456	361
ENSG00000002549	4805	6444
ENSG00000002586	13414	16402
ENSG00000002586.1	0	0
ENSG00000002587	230	263
ENSG00000002726	2	19
ENSG00000002745	3	3
ENSG00000002746	25	21
ENSG00000002822	33	15
ENSG00000002834	12251	11856
ENSG00000002919	1012	1998
ENSG00000002933	210	2141
ENSG00000003056	3368	3010
ENSG00000003096	380	986
ENSG00000003137	322	2249
ENSG00000003147	1903	1066
ENSG00000003249	4176	182
ENSG00000003393	1811	1634
ENSG00000003400	1121	1372
ENSG00000003402	4691	11461
ENSG00000003436	1261	5292
ENSG00000003509	1031	669
ENSG00000003756	2121	4349
ENSG00000003987	60	59
ENSG00000003989	72	3342
ENSG00000004059	7103	2613
ENSG00000004139	107	210
ENSG00000004142	6316	5692
ENSG00000004399	7282	15380
ENSG00000004455	9385	6551
ENSG00000004468	15	147
ENSG00000004478	12708	3374
ENSG00000004487	10923	3311
ENSG00000004534	2432	4081
ENSG00000004660	618	588
ENSG00000004700	1293	2088
ENSG00000004766	1797	1640
ENSG00000004776	136	5883
ENSG00000004777	902	175
ENSG00000004779	2667	2489
ENSG00000004799	2380	36224
ENSG00000004809	9	5
ENSG00000004838	23	22
ENSG00000004846	4	743
ENSG00000004848	0	1
ENSG00000004864	4899	910
ENSG00000004866	1293	1487
ENSG00000004897	3304	4494
ENSG00000004939	1	4
ENSG00000004948	2	59
ENSG00000004961	1624	1198
ENSG00000004975	2505	1165
ENSG00000005001	2655	58
