WASH1	WASH7P	ENSG00000227232
OR4F3		ENSG00000290826
OR4F3	OR4G11P	ENSG00000240361
OR4F17	OR4F5	ENSG00000186092
OR4F5	OR4F5	ENSG00000186092
OR4F5	OR4F5	ENSG00000186092
OR4F5	OR4F5	ENSG00000186092
WASH1	WASH9P	ENSG00000279457
OR4F3	OR4F29	ENSG00000284733
OR4F3		ENSG00000290385
OR4F3	OR4F16	ENSG00000284662
OR4F3		ENSG00000230021
OR4F16	OR4F16	ENSG00000284662
OR4F16		ENSG00000230021
OR4F21	OR4F16	ENSG00000284662
OR4F21		ENSG00000230021
OR4F16	OR4F16	ENSG00000284662
OR4F16		ENSG00000230021
SAMD11	SAMD11	ENSG00000187634
SAMD11	SAMD11	ENSG00000187634
SAMD11	SAMD11	ENSG00000187634
SAMD11	SAMD11	ENSG00000187634
NOC2L	NOC2L	ENSG00000188976
NOC2L	NOC2L	ENSG00000188976
NOC2L	NOC2L	ENSG00000188976
NOC2L	NOC2L	ENSG00000188976
KLHL17	KLHL17	ENSG00000187961
KLHL17	KLHL17	ENSG00000187961
KLHL17	KLHL17	ENSG00000187961
KLHL17	KLHL17	ENSG00000187961
PLEKHN1	PLEKHN1	ENSG00000187583
PLEKHN1	PLEKHN1	ENSG00000187583
PLEKHN1	PLEKHN1	ENSG00000187583
PLEKHN1	PLEKHN1	ENSG00000187583
PERM1	PERM1	ENSG00000187642
PERM1	PERM1	ENSG00000187642
PERM1	PERM1	ENSG00000187642
PERM1	PERM1	ENSG00000187642
HES4	HES4	ENSG00000188290
HES4	HES4	ENSG00000188290
HES4	HES4	ENSG00000188290
HES4	HES4	ENSG00000188290
ISG15	ISG15	ENSG00000187608
ISG15	ISG15	ENSG00000187608
ISG15	ISG15	ENSG00000187608
ISG15	ISG15	ENSG00000187608
AGRN	AGRN	ENSG00000188157
AGRN	AGRN	ENSG00000188157
AGRN	AGRN	ENSG00000188157
AGRN	AGRN	ENSG00000188157
RNF223	RNF223	ENSG00000237330
RNF223	RNF223	ENSG00000237330
RNF223	RNF223	ENSG00000237330
RNF223	RNF223	ENSG00000237330
C1orf159	C1orf159	ENSG00000131591
C1orf159	C1orf159	ENSG00000131591
C1orf159	C1orf159	ENSG00000131591
C1orf159	C1orf159	ENSG00000131591
TTLL10	TTLL10	ENSG00000162571
TTLL10	TTLL10	ENSG00000162571
TTLL10	TTLL10	ENSG00000162571
TTLL10	TTLL10	ENSG00000162571
TNFRSF18	TNFRSF18	ENSG00000186891
TNFRSF18	TNFRSF18	ENSG00000186891
TNFRSF18	TNFRSF18	ENSG00000186891
TNFRSF18	TNFRSF18	ENSG00000186891
TNFRSF4	TNFRSF4	ENSG00000186827
TNFRSF4	TNFRSF4	ENSG00000186827
TNFRSF4	TNFRSF4	ENSG00000186827
TNFRSF4	TNFRSF4	ENSG00000186827
SDF4	SDF4	ENSG00000078808
SDF4	SDF4	ENSG00000078808
SDF4	SDF4	ENSG00000078808
SDF4	SDF4	ENSG00000078808
B3GALT6	B3GALT6	ENSG00000176022
B3GALT6	B3GALT6	ENSG00000176022
B3GALT6	B3GALT6	ENSG00000176022
B3GALT6	B3GALT6	ENSG00000176022
FAM132A	C1QTNF12	ENSG00000184163
FAM132A	C1QTNF12	ENSG00000184163
FAM132A	C1QTNF12	ENSG00000184163
FAM132A	C1QTNF12	ENSG00000184163
UBE2J2	UBE2J2	ENSG00000160087
UBE2J2	UBE2J2	ENSG00000160087
UBE2J2	UBE2J2	ENSG00000160087
UBE2J2	UBE2J2	ENSG00000160087
SCNN1D	SCNN1D	ENSG00000162572
SCNN1D	SCNN1D	ENSG00000162572
SCNN1D	SCNN1D	ENSG00000162572
SCNN1D	SCNN1D	ENSG00000162572
ACAP3	ACAP3	ENSG00000131584
ACAP3	ACAP3	ENSG00000131584
ACAP3	ACAP3	ENSG00000131584
ACAP3	ACAP3	ENSG00000131584
PUSL1	ACAP3	ENSG00000131584
PUSL1	PUSL1	ENSG00000169972
PUSL1	ACAP3	ENSG00000131584
PUSL1	PUSL1	ENSG00000169972
PUSL1	ACAP3	ENSG00000131584
PUSL1	PUSL1	ENSG00000169972
PUSL1	PUSL1	ENSG00000169972
CPSF3L	INTS11	ENSG00000127054
CPSF3L	INTS11	ENSG00000127054
CPSF3L	INTS11	ENSG00000127054
CPSF3L	INTS11	ENSG00000127054
CPTP	CPTP	ENSG00000224051
CPTP	CPTP	ENSG00000224051
CPTP	CPTP	ENSG00000224051
CPTP	CPTP	ENSG00000224051
TAS1R3	TAS1R3	ENSG00000169962
TAS1R3	TAS1R3	ENSG00000169962
TAS1R3	TAS1R3	ENSG00000169962
TAS1R3	TAS1R3	ENSG00000169962
DVL1	DVL1	ENSG00000107404
DVL1	DVL1	ENSG00000107404
DVL1	DVL1	ENSG00000107404
DVL1	DVL1	ENSG00000107404
MXRA8	MXRA8	ENSG00000162576
MXRA8	MXRA8	ENSG00000162576
MXRA8	MXRA8	ENSG00000162576
MXRA8	MXRA8	ENSG00000162576
AURKAIP1	AURKAIP1	ENSG00000175756
AURKAIP1	AURKAIP1	ENSG00000175756
AURKAIP1	AURKAIP1	ENSG00000175756
AURKAIP1	AURKAIP1	ENSG00000175756
CCNL2	CCNL2	ENSG00000221978
CCNL2	CCNL2	ENSG00000221978
CCNL2	CCNL2	ENSG00000221978
CCNL2	CCNL2	ENSG00000221978
MRPL20	MRPL20	ENSG00000242485
MRPL20	MRPL20	ENSG00000242485
MRPL20	MRPL20	ENSG00000242485
ANKRD65	ANKRD65	ENSG00000235098
ANKRD65	ANKRD65	ENSG00000235098
ANKRD65	ANKRD65	ENSG00000235098
ANKRD65	ANKRD65	ENSG00000235098
ANKRD65	ANKRD65-AS1	ENSG00000225905
TMEM88B	TMEM88B	ENSG00000205116
TMEM88B	TMEM88B	ENSG00000205116
TMEM88B	TMEM88B	ENSG00000205116
VWA1	VWA1	ENSG00000179403
VWA1	VWA1	ENSG00000179403
VWA1	VWA1	ENSG00000179403
VWA1	VWA1	ENSG00000179403
ATAD3C	ATAD3C	ENSG00000215915
ATAD3C	ATAD3C	ENSG00000215915
ATAD3C	ATAD3C	ENSG00000215915
ATAD3C	ATAD3C	ENSG00000215915
ATAD3B	ATAD3B	ENSG00000160072
ATAD3B	ATAD3B	ENSG00000160072
ATAD3B	ATAD3B	ENSG00000160072
ATAD3B	ATAD3B	ENSG00000160072
ATAD3A	ATAD3A	ENSG00000197785
ATAD3A	ATAD3A	ENSG00000197785
ATAD3A	ATAD3A	ENSG00000197785
ATAD3A	ATAD3A	ENSG00000197785
TMEM240	TMEM240	ENSG00000205090
TMEM240	TMEM240	ENSG00000205090
TMEM240	TMEM240	ENSG00000205090
TMEM240	TMEM240	ENSG00000205090
SSU72	SSU72	ENSG00000160075
SSU72	SSU72	ENSG00000160075
SSU72	SSU72	ENSG00000160075
SSU72		ENSG00000215014
SSU72	SSU72	ENSG00000160075
C1orf233	FNDC10	ENSG00000228594
C1orf233	FNDC10	ENSG00000228594
C1orf233	FNDC10	ENSG00000228594
C1orf233	FNDC10	ENSG00000228594
MIB2	MIB2	ENSG00000197530
MIB2	MIB2	ENSG00000197530
MIB2	MIB2	ENSG00000197530
MIB2	MIB2	ENSG00000197530
MMP23B	MMP23B	ENSG00000189409
MMP23B	MMP23B	ENSG00000189409
CDK11B	CDK11B	ENSG00000248333
CDK11B	CDK11B	ENSG00000248333
CDK11B	CDK11B	ENSG00000248333
SLC35E2B	SLC35E2B	ENSG00000189339
SLC35E2B	SLC35E2B	ENSG00000189339
SLC35E2B	SLC35E2B	ENSG00000189339
SLC35E2B	SLC35E2B	ENSG00000189339
SLC35E2	SLC35E2B	ENSG00000189339
MMP23B	MMP23A	ENSG00000215914
MMP23B	MMP23A	ENSG00000215914
CDK11A	CDK11A	ENSG00000008128
CDK11A		ENSG00000268575
CDK11A	CDK11A	ENSG00000008128
CDK11A		ENSG00000268575
CDK11B	CDK11A	ENSG00000008128
CDK11B		ENSG00000268575
CDK11A	CDK11A	ENSG00000008128
CDK11A		ENSG00000268575
CDK11A	CDK11A	ENSG00000008128
CDK11A		ENSG00000268575
SLC35E2		ENSG00000290854
SLC35E2	SLC35E2A	ENSG00000215790
SLC35E2		ENSG00000290854
SLC35E2	SLC35E2A	ENSG00000215790
SLC35E2		ENSG00000290854
SLC35E2	SLC35E2A	ENSG00000215790
NADK	NADK	ENSG00000008130
NADK	NADK	ENSG00000008130
NADK	NADK	ENSG00000008130
NADK	NADK	ENSG00000008130
GNB1	GNB1	ENSG00000078369
GNB1	GNB1	ENSG00000078369
GNB1	GNB1	ENSG00000078369
GNB1	GNB1	ENSG00000078369
CALML6	CALML6	ENSG00000169885
CALML6	CALML6	ENSG00000169885
CALML6	CALML6	ENSG00000169885
CALML6	CALML6	ENSG00000169885
TMEM52	TMEM52	ENSG00000178821
TMEM52	TMEM52	ENSG00000178821
TMEM52	TMEM52	ENSG00000178821
TMEM52	TMEM52	ENSG00000178821
CFAP74	CFAP74	ENSG00000142609
CFAP74	CFAP74	ENSG00000142609
CFAP74	CFAP74	ENSG00000142609
CFAP74	CFAP74	ENSG00000142609
C1orf222	CFAP74	ENSG00000142609
C1orf222	CFAP74	ENSG00000142609
C1orf222	CFAP74	ENSG00000142609
C1orf222	CFAP74	ENSG00000142609
GABRD	GABRD	ENSG00000187730
GABRD	GABRD	ENSG00000187730
GABRD	GABRD	ENSG00000187730
GABRD	GABRD	ENSG00000187730
PRKCZ	PRKCZ	ENSG00000067606
PRKCZ	PRKCZ	ENSG00000067606
PRKCZ	PRKCZ	ENSG00000067606
PRKCZ	PRKCZ	ENSG00000067606
FAAP20	FAAP20	ENSG00000162585
FAAP20	PRKCZ	ENSG00000067606
FAAP20	FAAP20	ENSG00000162585
FAAP20	PRKCZ	ENSG00000067606
FAAP20	FAAP20	ENSG00000162585
FAAP20	PRKCZ	ENSG00000067606
FAAP20	FAAP20	ENSG00000162585
FAAP20	PRKCZ	ENSG00000067606
C1orf86	FAAP20	ENSG00000162585
C1orf86	FAAP20	ENSG00000162585
C1orf86	FAAP20	ENSG00000162585
C1orf86	FAAP20	ENSG00000162585
SKI	SKI	ENSG00000157933
SKI	SKI	ENSG00000157933
SKI	SKI	ENSG00000157933
SKI	SKI	ENSG00000157933
MORN1	MORN1	ENSG00000116151
MORN1	MORN1	ENSG00000116151
MORN1	MORN1	ENSG00000116151
MORN1	MORN1	ENSG00000116151
RER1	RER1	ENSG00000157916
RER1	RER1	ENSG00000157916
RER1	RER1	ENSG00000157916
RER1	RER1	ENSG00000157916
PEX10	PEX10	ENSG00000157911
PEX10	PEX10	ENSG00000157911
PEX10	PEX10	ENSG00000157911
PEX10	PEX10	ENSG00000157911
PLCH2	PLCH2	ENSG00000149527
PLCH2	PLCH2	ENSG00000149527
PLCH2	PLCH2	ENSG00000149527
PLCH2	PLCH2	ENSG00000149527
PANK4	PANK4	ENSG00000157881
PANK4	PANK4	ENSG00000157881
PANK4	PANK4	ENSG00000157881
PANK4	PANK4	ENSG00000157881
HES5	HES5	ENSG00000197921
HES5	HES5	ENSG00000197921
HES5	HES5	ENSG00000197921
HES5	HES5	ENSG00000197921
TNFRSF14	TNFRSF14	ENSG00000157873
TNFRSF14	TNFRSF14	ENSG00000157873
TNFRSF14	TNFRSF14	ENSG00000157873
TNFRSF14	TNFRSF14	ENSG00000157873
FAM213B	PRXL2B	ENSG00000157870
FAM213B	PRXL2B	ENSG00000157870
FAM213B	PRXL2B	ENSG00000157870
FAM213B	PRXL2B	ENSG00000157870
MMEL1	MMEL1	ENSG00000142606
MMEL1	MMEL1	ENSG00000142606
MMEL1	MMEL1	ENSG00000142606
MMEL1	MMEL1	ENSG00000142606
TTC34	TTC34	ENSG00000215912
TTC34	TTC34	ENSG00000215912
TTC34	TTC34	ENSG00000215912
TTC34	TTC34	ENSG00000215912
ACTRT2	ACTRT2	ENSG00000169717
ACTRT2	ACTRT2	ENSG00000169717
ACTRT2	ACTRT2	ENSG00000169717
ACTRT2	ACTRT2	ENSG00000169717
PRDM16	PRDM16	ENSG00000142611
PRDM16	PRDM16	ENSG00000142611
PRDM16	PRDM16	ENSG00000142611
PRDM16	PRDM16	ENSG00000142611
ARHGEF16	ARHGEF16	ENSG00000130762
